Title,Date,Author
"
Netanyahu loses a lawmaker but ups his chances at beating the judiciary
",2022-09-30,Yossi Verter
"
Russian strike kills 23 ahead of Kremlin move to annex Ukraine regions
",2022-09-30,The Associated Press
"
Suicide attack at tutoring center in Afghan capital kills 19
",2022-09-30,Reuters
"
Four occupied regions of Ukraine to be annexed to Russian Federation
",2022-09-30,DPA
"
The war in Ukraine is barely mentioned in the battle for Russian-speaking voters
",2022-09-30,Liza Rozovsky
"
As Lebanon maritime talks advance, Israel pins hope on new gamble
",2022-09-30,Amos Harel
"
The politics behind targeted West Bank assassinations
",2022-09-30,Amos Harel
"
Battered but not broken, Jewish community in Odesa carries on
",2022-09-30,Sam Sokol
The occupation is spinning out of control,2022-09-30,Haaretz Editorial
Haaretz Cartoon,2022-09-30,Eran Wolkowski
"
TikTok, Telegram and mass messages: The dark mad dash for political data in Israel
",2022-09-30,Omer Benjakob
"
Is there any clearer hypocrisy than Yesh Atid’s petition?
",2022-09-30,Carolina Landsmann
"
'After a few minutes on a nude beach, we were hooked'
",2022-09-30,Danna Frank
Why Italy's new prime minister has Israeli allies,2022-09-29,Hanin Majadli
"
When Israel actually probed its mistakes – but didn't dig deep enough
",2022-09-29,Uri Misgav
"
Trump divided U.S. Jews on Israel, 'flirted with the forces of antisemitism'
",2022-09-29,Allison Kaplan Sommer
"
One of Netanyahu's most stunningly irresponsible decisions threatens Israel's future
",2022-09-29,Eric H. Yoffie
"
Man killed, other wounded in police shooting in Nazareth
",2022-09-29,Deiaa Haj Yahia
"
From Fox News to Ted Cruz, conservatives rush to whitewash Italy’s new far-right rulers
",2022-09-29,Ariel David
"
Failed election leaves crisis-struck Lebanon without new president
",2022-09-29,The Associated Press
"
Researchers find real reason the air quality in the Middle East is so bad
",2022-09-29,Ruth Schuster
"
In first since 2017, senior Palestinian official to meet Biden administration members
",2022-09-29,Jack Khoury
"
Israeli army to provide West Bank outposts with observation and warning tech
",2022-09-29,Hagar Shezaf
"Yes, Jews can support fascists too",2022-09-29,Anshel Pfeffer
"
The two most frightening but overlooked events in Israel this week
",2022-09-29,Amir Tibon
"
The Mossad’s fateful 48 hours before the Yom Kippur War
",2022-09-29,Yossi Melman
"
""Putin told Trump: 'maybe they should name all of Israel after you"": LISTEN to Peter Baker
",2022-09-29,Haaretz Weekly
"
Can't afford hotel prices in Israel, but picky? Time to rough it – the 5-star way
",2022-09-29,Moshe Gilad
"
Israeli ruling paves way for non-citizens' private conversions by Modern Orthodox rabbis
",2022-09-29,Judy Maltz
"
With elections on the horizon, Israel's anti-Netanyahu protests are back in action
",2022-09-29,Judy Maltz
"
In India, Modi’s Hindu nationalists declare war on Bollywood’s Muslim superstars
",2022-09-29,Samaan Lateef
"
Israel Election: Arab Balad party nixed from Knesset run, will appeal
",2022-09-29,Michael Hauser Tov
"
'Fucking Shabbat': Trump reportedly irked by Jared Kushner's lack of availability
",2022-09-29,Ben Samuels
"
U.S. supports ‘immediate and thorough’ probe into 7-year-old Palestinian’s death
",2022-09-29,Jack Khoury
Lapid dodges Abbas' Rosh Hashanah phone call,2022-09-29,Michael Hauser Tov
"
Baghdad's Green Zone hit with rockets for a second day
",2022-09-29,Reuters
"
Russia to formally annex Ukraine regions on Friday; West prepares fresh sanctions
",2022-09-29,Reuters
Haaretz cartoon,2022-09-29,Amos Biderman
"
West Bank clashes could drag Israel into a major operation
",2022-09-29,Amos Harel
"
Israel Election: Race tightens as anti-Netanyahu bloc rises to 57 seats
",2022-09-29,Haaretz
"
Shaked orders family of Palestinian who killed soldiers to leave Israel after court ruling
",2022-09-29,Noa Shpigel
"Too little, too late",2022-09-29,Haaretz Editorial
"
Firefighters battle blaze in Galilee, gain control of fire in Jerusalem Hills
",2022-09-29,Adi Hashmonai
Let’s be fascists all the way,2022-09-29,Anat Kamm
"
The Yemenite Children Affair, and a new level of gaslighting
",2022-09-29,Itay Rom 
"
Israeli refusal to release Palestinian's body stirs unrest in East Jerusalem
",2022-09-28,Yael Freidson
"
Nord Stream gas leaks could amount to one third of Denmark's CO2 emissions, official warns
",2022-09-28,The Associated Press
"
Israeli electric passenger plane soars in historic debut test flight
",2022-09-28,Daniel Schmil
"
Israel to open border crossing for 24/7 access in pilot program amid U.S. pressure
",2022-09-28,Ben Samuels
"
Why Palestinians are suddenly on Israel’s election agenda
",2022-09-28,Anshel Pfeffer
Will Israel be less democratic next Rosh Hashanah?,2022-09-28,Alon Pinkas
"
Israel's best friend in Congress leaves DC for U.S.-Jewish world. Here's what's next
",2022-09-28,Ben Samuels
"
Shin Bet officer suspected of ordering search of Palestinian's private parts gets promoted
",2022-09-28,Josh Breiner
"
Rich, young Israelis are all fired up about prenups
",2022-09-28,Yael Darel 
"
Yemen's extended ceasefire likely to collapse and fighting to resume, UN warns
",2022-09-28,The Associated Press
"
When the Jewish obsession with family trees yields unexpected results
",2022-09-28,Itamar Katzir
"
NATO, EU cite dangers to vital infrastructure after pipeline 'sabotage'
",2022-09-28,Reuters
"
Reports of Iranian suicide drones targeting Ukraine's Uman don't deter Jewish pilgrims
",2022-09-28,Sam Sokol
"
Following Israeli raid in Jenin, Fatah calls for general strike in West Bank
",2022-09-28,Jack Khoury
"
'Huge majorities' in occupied Ukraine regions in favor of joining Russia, officials say
",2022-09-28,Reuters
Uncultured cynicism,2022-09-28,Haaretz Editorial
"Gantz’s plus, Lapid’s minus",2022-09-28,Ravit Hecht
"A dark horse, painted white",2022-09-28,Iris Leal
"Down with occupation, viva apartheid",2022-09-28,Zvi Bar'el
"
MBS appointed new Saudi prime minister amid cabinet reshuffle
",2022-09-27,Reuters
"
In rare rebuke, Israel says it won’t recognize Russia’s annexation referendums in Ukraine
",2022-09-27,Jonathan Lis
"
Suspect detained for sabotaging train tracks in northern Israel released
",2022-09-27,Adi Hashmonai
"
Extremist 'Jewish Taliban' Lev Tahor compound raided in Mexico
",2022-09-27,Jonathan Lis
"
Lebanese MPs to convene to elect new president, though no consensus on candidate
",2022-09-27,Reuters
"
Two Kurdish militants open fire on Turkish police, kill themselves
",2022-09-27,The Associated Press
"
Man arrested on suspicion of stabbing wife to death, setting home ablaze in central Israel
",2022-09-27,Josh Breiner
"
Italy’s economic and political malaise has pushed the country into far-right hands
",2022-09-26,Ariel David
"
Israelis fleeing Russia allowed into Estonia if they 'tell the truth,' ambassador says
",2022-09-26,Liza Rozovsky
"
Putin grants Russian citizenship to U.S. whistleblower Snowden
",2022-09-26,Reuters
"
Man suspected of attempting to sabotage train tracks in Northern Israel
",2022-09-26,Adi Hashmonai
"
With no hope or vision, Mahmoud Abbas knows his UN speech may be his last
",2022-09-26,Jack Khoury
"
Egyptian cleric revered by Muslim Brotherhood dies at 96
",2022-09-26,Reuters
"
Amid national upheaval, Iran strikes Kurdish groups in northern Iraq
",2022-09-26,The Associated Press
"
Lebanon expects maritime border deal offer from U.S. within days
",2022-09-26,Reuters
"
In first since WWII, Italians vote in election that may bring far-right to power
",2022-09-25,The Associated Press
"
Attacks on anti-Netanyahu protesters spike in run-up to Israeli election
",2022-09-25,Jonathan Shamir
"
'I don't intend to die for Putin’s fairy tales': Draft fever convulses Russia
",2022-09-25,Liza Rozovsky
"
'Our conflict with Iran is unparalleled', say Israel's elite cyber unit commanders
",2022-09-25,Amos Harel
"
'I don’t know what Thyssenkrupp is': Netanyahu’s account in submarine affair revealed
",2022-09-25,Gidi Weitz
"
Estonia bars entry to Israelis with Russian citizenship trying to leave Russia
",2022-09-25,Liza Rozovsky
"
Iran's decades-long history of Holocaust denial comes with a dark strategy
",2022-09-25,Jonathan Harounoff
"
What these U.S. rabbis will tell their congregants on this year's High Holy Days
",2022-09-25,Allison Kaplan Sommer
"
In this stretch of desert, Israel plans to build its first new kibbutz in decades
",2022-09-25,Judy Maltz
"
In Uman, Ukraine's Jewish pilgrimage city, even air raid sirens are part of the show
",2022-09-25,Sam Sokol
"
Far-right Israeli leader says homosexuality 'not healthy' for society
",2022-09-25,Haaretz
"
Lapid to Haaretz: ‘I have learned to respect the left’
",2022-09-25,Jonathan Lis
"
Yemenite boy whose bones were exhumed for genetic testing was not kidnapped
",2022-09-25,Ofer Aderet
"
Palestinian militant killed in clashes with Israeli forces in Nablus
",2022-09-25,Jack Khoury
"
Gaza’s children can only dream of what Yair Lapid's daughter has
",2022-09-25,Gideon Levy
"
Bennett's veto is a hypocritical shot in the foot of Israeli culture
",2022-09-25,Noa Landau
Speed up Netanyahu's trial,2022-09-24,Haaretz
"
Israeli army installs remote-control crowd dispersal system at Hebron flashpoint
",2022-09-24,Hagar Shezaf
"
Gantz: agreement with Palestinians not likely in foreseeable future
",2022-09-24,Haaretz
"
Likud activist punches hero of Israel's 1973 war at anti-Netanyahu protest
",2022-09-24,Josh Breiner
"
Palestinian who murdered woman in central Israel had been diagnosed with schizophrenia
",2022-09-24,Hagar Shezaf
"
Palestinian shot dead after suspected ramming near West Bank settlement outpost
",2022-09-24,Jack Khoury
"
'He Hasn’t eaten in 150 Days. He’s all skin and bones – so why is he handcuffed?'
",2022-09-24,Ayelett Shani
"
Palestinians are not Israel’s ‘neighbors’: 11 corrections for PM Yair Lapid’s UN speech
",2022-09-24,Amira Hass
"
When Tel Aviv and Gaza signed a sister city agreement
",2022-09-23,Moran Sharir
"
Man stabbed to death outside home in northern Israel
",2022-09-23,Adi Hashmonai
"
'You accuse us of terrorism. What do you expect of us when you come to town to kill?'
",2022-09-23,Gideon Levy
"
Bennett uses his veto power to block European funding for Israeli artists
",2022-09-23,Noa Shpigel
"
Tel Aviv schools are racially segregated. These parents decided this needs to change
",2022-09-23,Netta Ahituv
"
Bennett in contact with international speaking agent before leaving politics
",2022-09-23,Michael Hauser Tov
"
U.S. expands internet services to Iran despite sanctions
",2022-09-23,Reuters
"
Jewish pilgrims in Uman are praying this year for Ukrainian victory
",2022-09-23,Sam Sokol
"
Abbas at UN: Israel is not a partner for peace, it's working to destroy two-state solution
",2022-09-23,Jack Khoury
"
Warning to Iran: The Mossad's ruthless pursuit of Egypt's missile scientists
",2022-09-23,Amir Oren
"
Israel arrests two Palestinians who carried out shooting attacks in the West Bank
",2022-09-23,Haaretz
"
Next Israel army chief may find his biggest mission lies within IDF ranks
",2022-09-23,Amos Harel
"
With Ukraine on the offensive, 'sham referendum' held in Russian-occupied territories
",2022-09-23,Reuters
"
When Lapid talks about two-state solution, he isn’t talking to Mahmoud Abbas
",2022-09-23,Yossi Verter
"
Former Pakistani minister: Israeli support for two-states can be ‘deal clincher’ for ties
",2022-09-23,Judy Maltz
"
Is the West taking Putin's nuclear threats too lightly?
",2022-09-23,Amos Harel
"
Hezbollah threats, West Bank tensions: Clouds gather as Israel prepares for fall holidays
",2022-09-23,Amos Harel
"
The police commissioner is right, blame the internet administrator
",2022-09-23,Hanin Majadli
"
Israel's inflation-busting ministers should be 'Men of the Year'
",2022-09-23,Nehemia Shtrasler
"
Alleged Nazi sympathizer gets four years in prison over U.S. Capitol attack
",2022-09-23,Reuters
"
Television poll gives Netanyahu bloc a 61-seat majority
",2022-09-23,Haaretz
Israeli Prime Minister Yair Lapid's full UN speech,2022-09-23,Haaretz
"
Ministry walks back demand for external educators to pledge to uphold Nakba Law
",2022-09-23,Shira Kadari-Ovadia 
Wayi and Uri would never meet today,2022-09-23,Lea Forshtat 
"
'The Israel I see today is not the Israel I moved to in the '70s'
",2022-09-23,Danna Frank
The just-not-Bibi camp needs Bibi,2022-09-23,Carolina Landsmann
The news is that there is no news,2022-09-23,Haaretz Editorial
"
Praise, condemnation after Lapid reaffirms commitment to two-state solution
",2022-09-23,Jonathan Lis
"
'My father took part in the '36 Berlin Olympics. He wanted Jews to prove the Nazis wrong'
",2022-09-23,Helen Epstein 
"
Israel's Arab voters can decide it all. Do they want to? LISTEN to Election Overdose
",2022-09-22,Election Overdose
"
Israel's borders like you've never seen them before
",2022-09-22,Avshalom Halutz
"
Eight wounded in terror attack in central Israel, assailant shot dead
",2022-09-22,Josh Breiner
"
Morocco’s economy is sinking, but its king prefers the bright lights of Paris
",2022-09-22,Zvi Bar'el
"
More than fish: Sea of Galilee's top 20 restaurants
",2022-09-22,Gil Gutkin
"The tragedy of queer Palestinians, now on stage",2022-09-22,Sheren Falah Saab
"
Israeli Prime Minister Lapid touts two-state solution at UN
",2022-09-22,Jonathan Lis
"
Lapid's two-state endorsement is meaningless, except in one scenario
",2022-09-22,Amir Tibon
"
A brief history of prehistoric art and why Israel doesn't have any
",2022-09-22,Ruth Schuster
Israel expands number of work permits for Gazans,2022-09-22,Hagar Shezaf
"
UAE to buy Israeli air defense tech in first deal since accords, sources say
",2022-09-22,Reuters
Eden has the freshest voice in Israel,2022-09-22,Ben Shalev
Why Iran won't save Netanyahu,2022-09-22,Dahlia Scheindlin
"
When your art can travel to your exhibition but you can't
",2022-09-22,Vered Lee
"
U.S. Jewish groups team up to promote election integrity this November
",2022-09-22,Ben Samuels
"
The female photographer who captured Palestinian lives 100 years ago
",2022-09-22,Ofer Aderet
Through their eyes: A new look at Israel's fringes,2022-09-22,Avshalom Halutz
"
New York's ultra-Orthodox schools: A story of big money, lobbyists and political power
",2022-09-22,David C. Bloomfield
"
Israeli official slams police chief's call to shut down social media during civic unrest
",2022-09-22,Josh Breiner
"
Democrats slam Rashida Tlaib for saying Israel supporters can't be progressive
",2022-09-22,Ben Samuels
"
Shireen Abu Akleh's family turns to International Criminal Court to demand investigation
",2022-09-22,Jack Khoury
"
Israeli embassy vandalized during Mexico City protest over 43 abducted students
",2022-09-22,Haaretz
"
'Israel is a radical country. Either you take action, or you become bitter'
",2022-09-22,Joy Bernard
